Date,Open,High,Low,Close,Volume,Personal Saving %,Close/Last
2019-08-14,208.603989,209.066437,186.331924,186.607742,7444456154,7.2,2840.6
2019-08-15,186.683502,189.462158,178.142563,188.50206,8197244441,7.2,2847.6
2019-08-16,188.644257,188.905594,180.384842,185.440079,7133915837,7.2,2888.68
2019-08-19,194.55603,203.56015,193.108246,203.091934,6145148692,7.2,2923.65
2019-08-20,202.813141,203.015991,195.619537,196.565414,6408417610,7.2,2900.51
2019-08-21,196.621689,197.027435,182.689178,186.891632,7775772700,7.2,2924.43
2019-08-22,186.941238,194.415512,183.384521,191.332916,7569043874,7.2,2922.95
2019-08-23,191.106873,195.906494,189.562317,194.706207,6658162377,7.2,2847.11
2019-08-26,186.73555,193.442184,186.73555,188.929382,7207986636,7.2,2878.38
2019-08-27,188.950058,188.963181,185.472931,187.516663,6042327402,7.2,2869.16
2019-08-28,187.495499,187.930878,172.185608,173.889969,6696604087,7.2,2887.94
2019-08-29,173.958694,173.996399,167.170898,169.516739,7129569083,7.2,2924.58
2019-08-30,169.489288,170.773514,167.071411,168.834869,5776520220,7.2,2926.46
2019-09-03,178.357758,182.347992,175.970169,179.499329,6962728938,7.3,2906.27
2019-09-04,179.491989,180.136597,175.325363,175.992889,5938120494,7.3,2937.78
2019-09-05,175.966278,176.16391,171.746826,174.217133,5589476516,7.3,2976.0
2019-09-06,174.172226,177.718704,168.341339,169.956177,6797611878,7.3,2978.71
2019-09-09,181.362488,184.14946,177.419357,181.14946,7232938985,7.3,2978.43
2019-09-10,181.212845,184.063431,178.122421,179.78717,6291476772,7.3,2979.39
2019-09-11,179.839493,181.757462,176.500916,178.725494,7157139035,7.3,3000.93
2019-09-12,178.803772,181.998566,177.847321,181.016098,5838605477,7.3,3009.57
2019-09-13,180.975586,181.498291,178.582047,181.109726,5955041237,7.3,3007.39
2019-09-16,189.689331,198.204971,189.689331,197.113174,8242029488,7.3,2997.96
2019-09-17,197.114761,213.731949,196.715485,208.608749,10232590812,7.3,3005.7
2019-09-18,208.050598,216.711502,208.050598,211.393036,9194634557,7.3,3006.73
2019-09-19,211.247238,222.871689,204.685776,221.280853,10620070913,7.3,3006.79
2019-09-20,221.069626,221.598557,215.159637,218.050049,8027974273,7.3,2992.07
2019-09-23,211.713211,211.840515,201.887238,201.92131,7494673136,7.3,2991.78
2019-09-24,201.842087,203.500549,162.727783,168.110733,11757739233,7.3,2966.6
2019-09-25,168.133575,174.719772,164.913483,170.8927,9766632018,7.3,2984.87
2019-09-26,170.756912,171.692642,157.130325,166.727127,7848286154,7.3,2977.62
2019-09-27,166.651703,175.610779,163.209503,174.710999,7909313625,7.3,2961.79
2019-09-30,170.461349,179.872208,167.036606,179.872208,7552915148,7.3,2976.74
2019-10-01,180.209122,185.045532,175.812653,177.340424,7676276225,7.4,2940.25
2019-10-02,177.22406,180.826126,175.334274,180.71051,6335595250,7.4,2887.61
2019-10-03,180.703705,180.79921,172.599869,175.199341,6381403725,7.4,2910.63
2019-10-04,175.238434,178.552078,173.564087,176.985001,6248928449,7.4,2952.01
2019-10-07,172.940338,182.356354,171.527817,181.18634,7844316834,7.4,2938.79
2019-10-08,181.113358,184.35997,179.133392,182.021561,7466282780,7.4,2893.06
2019-10-09,182.036301,194.300491,180.668442,193.293259,9088122101,7.4,2919.4
2019-10-10,193.191071,193.896927,188.306473,191.659668,8375913276,7.4,2938.13
2019-10-11,191.801071,195.318802,181.661835,182.569687,9128522970,7.4,2970.27
2019-10-14,182.028473,187.303619,181.662277,186.960907,7276520699,7.4,2966.15
